# x_m,y_m,w_tr_right_m,w_tr_left_m
6.1400,-2.9000,0.7433,0.7433
6.1900,-2.9500,0.7433,0.7433
6.2400,-3.0000,0.7433,0.7433
6.2900,-3.0000,0.7382,0.7382
6.3400,-3.0500,0.7616,0.7616
6.3900,-3.0500,0.7433,0.7433
6.4400,-3.1000,0.7762,0.7762
6.4900,-3.1000,0.7649,0.7649
6.5400,-3.1000,0.7566,0.7566
6.5900,-3.1500,0.8016,0.8016
6.6400,-3.1500,0.8000,0.8000
6.6900,-3.2000,0.8515,0.8515
6.7400,-3.2000,0.8559,0.8559
6.7900,-3.2000,0.8631,0.8631
6.8400,-3.2500,0.9220,0.9220
6.8900,-3.2500,0.9341,0.9341
6.9400,-3.2500,0.9487,0.9487
6.9400,-3.3000,0.9849,0.9849
6.9400,-3.3500,0.9657,0.9657
6.9400,-3.4000,0.9487,0.9487
6.9400,-3.4500,0.9341,0.9341
6.9400,-3.5000,0.9220,0.9220
6.9400,-3.5500,0.9124,0.9124
6.9400,-3.6000,0.9055,0.9055
6.9400,-3.6500,0.9014,0.9014
6.9900,-3.7000,0.8500,0.8500
6.9900,-3.7500,0.8382,0.8382
6.9900,-3.8000,0.8246,0.8246
6.9900,-3.8500,0.8139,0.8139
6.9900,-3.9000,0.8062,0.8062
7.0400,-3.9500,0.7517,0.7517
7.0400,-4.0000,0.7500,0.7500
7.0400,-4.0500,0.7500,0.7500
7.0400,-4.1000,0.7500,0.7500
7.0400,-4.1500,0.7500,0.7500
7.0400,-4.2000,0.7500,0.7500
7.0400,-4.2500,0.7500,0.7500
7.0400,-4.3000,0.7500,0.7500
7.0400,-4.3500,0.7433,0.7433
7.0400,-4.4000,0.7280,0.7280
7.0400,-4.4500,0.7159,0.7159
7.0900,-4.5000,0.7159,0.7159
7.0900,-4.5500,0.7280,0.7280
7.0900,-4.6000,0.7433,0.7433
7.0900,-4.6500,0.7433,0.7433
7.0900,-4.7000,0.7280,0.7280
7.0900,-4.7500,0.7159,0.7159
7.0900,-4.8000,0.7071,0.7071
7.0900,-4.8500,0.7018,0.7018
7.0900,-4.9000,0.7000,0.7000
7.1400,-4.9500,0.7500,0.7500
7.1400,-5.0000,0.7500,0.7500
7.1400,-5.0500,0.7500,0.7500
7.1400,-5.1000,0.7500,0.7500
7.1400,-5.1500,0.7500,0.7500
7.1400,-5.2000,0.7500,0.7500
7.1400,-5.2500,0.7500,0.7500
7.1400,-5.3000,0.7517,0.7517
7.1400,-5.3500,0.7566,0.7566
7.1400,-5.4000,0.7649,0.7649
7.1400,-5.4500,0.7762,0.7762
7.1900,-5.4500,0.7906,0.7906
7.2400,-5.5000,0.7500,0.7500
7.2900,-5.5500,0.7000,0.7000
7.3400,-5.5500,0.7000,0.7000
7.3900,-5.6000,0.6500,0.6500
7.4400,-5.6000,0.6519,0.6519
7.4900,-5.6500,0.6083,0.6083
7.5400,-5.6500,0.6185,0.6185
